item,category,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,peak_months,stored_notes,regions_notes,specialist_sources
pak choi,vegetable,I,I,I,I,I,P,P,P,P,P,P,I,jun jul aug sep oct nov,,Listed year-round by BBC Good Food (glasshouse/imports in winter).,
parsley,herb,.,.,.,.,T,T,T,T,T,T,.,.,,,,
parsnips,vegetable,P,P,T,.,.,.,.,T,P,P,P,P,jan feb sep oct nov dec,,,
peach,fruit,.,.,.,.,.,.,T,P,P,.,.,.,aug sep,,,
pear,fruit,P,I,T,T,.,.,.,.,P,P,P,P,jan sep oct nov dec,"{""jan"": ""stored"", ""feb"": ""stored"", ""nov"": ""stored"", ""dec"": ""stored""}",Harvest Aug-Oct; stored pears to May (Conference to May per BAPL).,britishapplesandpears.co.uk/the-british-season
peas,vegetable,.,.,.,I,T,P,P,I,I,.,.,.,jun jul,,Vining pea harvest Jun-Aug (8-week 24/7 operation); Great British Pea Week early July. Fresh garden peas Jun-Sep.,peas.org/what-is-great-british-pea-week
peppers,vegetable,.,.,.,.,.,I,I,P,P,I,.,.,aug sep,"{""aug"": ""capsicum"", ""sep"": ""capsicum"", ""oct"": ""capsicum""}",UK glasshouse crop; NFU notes glasshouse availability in colder months.,nfuonline.com seasonality chart notes
plum,fruit,.,.,.,.,.,.,.,P,P,P,.,.,aug sep oct,,,
potatoes,vegetable,I,I,I,.,.,T,I,P,I,P,I,I,aug oct,"{""jun"": ""new"", ""jul"": ""new"", ""aug"": ""new"", ""sep"": ""maincrop"", ""oct"": ""maincrop""}",Maincrop harvest Aug-Oct; stored year-round (NFU).,
pumpkin & squash,vegetable,T,T,.,.,.,.,.,.,P,P,P,I,sep oct nov,"{""jan"": ""stored"", ""feb"": ""stored"", ""dec"": ""stored""}",,
purple sprouting broccoli,vegetable,I,P,P,P,.,.,.,.,.,T,.,T,feb mar apr,,,
quince,fruit,.,.,.,.,.,.,.,.,T,P,P,P,oct nov dec,"{""nov"": ""stored"", ""dec"": ""stored""}",Oct-Nov.,
radicchio,vegetable,I,I,I,I,I,.,I,I,I,I,I,I,,,,
radishes,salad,.,.,T,P,P,P,P,P,P,I,.,.,apr may jun jul aug sep,,,
raspberry,fruit,.,.,.,.,.,I,P,P,I,T,.,.,jul aug,,Scottish season (Tayside/Angus heartland) late Jun-Oct - longer than England; peak Jul-Aug.,mclaysfoods.co.uk seasonality (Scotland); tastescot.co.uk/whats-in-season
redcurrant,fruit,.,.,.,.,.,T,P,P,P,.,.,.,jul aug sep,,,
rhubarb,fruit,P,P,P,P,P,P,I,.,T,.,.,.,jan feb mar apr may jun,"{""jan"": ""forced"", ""feb"": ""forced"", ""mar"": ""forced"", ""apr"": ""maincrop"", ""may"": ""maincrop"", ""jun"": ""maincrop"", ""jul"": ""maincrop""}",Outdoor/maincrop rhubarb roughly Apr-Jun/Jul; winter rows are forced rhubarb. BBC Good Food marks Jan-Jun overall.,
rocket,salad,.,.,.,I,I,T,I,T,I,T,.,.,,,,
rosemary,herb,.,.,.,.,T,T,T,T,T,T,T,.,,,,
runner beans,vegetable,.,.,.,.,.,P,P,P,P,I,.,.,jun jul aug sep,,,
sage,herb,.,.,.,.,T,T,T,T,T,T,T,.,,,,
salsify,vegetable,I,I,T,.,.,.,.,.,I,T,T,I,,,,
samphire,foraged/wild,.,.,.,.,T,I,P,I,.,.,.,.,jul,,"Marsh samphire on Norfolk coast (Hunstanton-Sheringham) runs late Jun-Aug, best July; cut, don't uproot (illegal to pull roots). Some sources list from Apr (earlier coasts/imports) - see audit.",secretgb.co.uk Norfolk samphire guide
shallots,vegetable,T,T,.,.,.,.,T,T,T,T,T,T,,,,
sorrel,salad,.,.,I,I,P,I,I,I,I,T,.,.,may,,,
spinach,vegetable,T,T,P,P,P,P,P,I,P,I,T,T,mar apr may jun jul sep,"{""jan"": ""perpetual"", ""feb"": ""perpetual"", ""mar"": ""perpetual"", ""apr"": ""perpetual"", ""may"": ""perpetual"", ""jun"": ""perpetual"", ""jul"": ""perpetual"", ""aug"": ""perpetual"", ""sep"": ""perpetual"", ""oct"": ""perpetual"", ""nov"": ""perpetual"", ""dec"": ""perpetual""}",,
spring greens,vegetable,T,T,I,I,I,I,.,.,T,T,T,T,,,,
spring onions,salad,.,.,P,P,P,I,P,P,P,T,.,I,mar apr may jul aug sep,,,
strawberry,fruit,.,.,.,T,P,P,P,P,I,T,.,.,may jun jul aug,,Protected cropping extends Mar-Dec; traditional field season Jun-Jul; retailers treat May-Sep as British season. Peak Jun-Jul.,marksandspencer.com British strawberries; ahdb.org.uk horticulture
swede,vegetable,I,I,T,.,.,.,.,.,T,P,P,P,oct nov dec,,"Autumn-winter; 'neeps' in Scotland (Burns Night, 25 Jan).",
sweetcorn,vegetable,.,.,.,.,.,.,T,P,P,I,.,.,aug sep,,Harvest Aug-Oct; each cob has a short ripeness window.,
tarragon,herb,.,.,.,.,T,T,T,T,.,.,.,.,,,,
tayberry,fruit,.,.,.,.,.,.,P,P,.,.,.,.,jul aug,,,
thyme,herb,.,.,.,.,.,T,T,T,T,T,.,.,,,,
tomatoes,vegetable,.,.,.,.,T,P,P,P,P,P,.,.,jun jul aug sep oct,,British glasshouse season spring-autumn per British Tomato Growers' Association; some year-round production with lights.,britishtomatoes.co.uk
turnips,vegetable,I,I,T,T,T,P,I,I,P,P,P,P,jun sep oct nov dec,,,
watercress,salad,.,.,.,T,I,I,I,I,I,I,I,.,,,"UK season May-Nov per The Watercress Company; production moves overseas in winter. Centre of production: Hampshire (Alresford, 'watercress capital') and Dorset. Some calendar sources list it Mar-Oct - see audit.",watercress.co.uk/growing-watercress-faq
wild garlic,foraged/wild,.,.,I,I,T,.,.,.,.,.,.,.,,,"Woodland forage, Mar-May (best before flowering ends).",
wild mushrooms,foraged/wild,.,.,.,.,.,.,.,T,T,T,T,T,,,"Autumn flush Aug-Nov; chanterelles peak Aug-Sep, ceps Sep-Oct (Scottish source).",
wild nettles,foraged/wild,.,.,I,I,T,T,T,.,.,.,.,.,,,,
